time,pose,landmarks
5.399999999999997,"Pose(pos=Position(x=np.float64(47.932929290636665), y=np.float64(9.420477726943796)), theta=2.002796326794897)","{1: Position(x=np.float64(2.0670707093633354), y=np.float64(40.579522273056206)), 2: Position(x=np.float64(-22.932929290636665), y=np.float64(20.579522273056206))}"
5.4999999999999964,"Pose(pos=Position(x=np.float64(47.85691242244922), y=np.float64(9.583637963984998)), theta=2.010796326794897)","{1: Position(x=np.float64(2.14308757755078), y=np.float64(40.416362036015)), 2: Position(x=np.float64(-22.85691242244922), y=np.float64(20.416362036015002))}"
5.599999999999996,"Pose(pos=Position(x=np.float64(47.779592718815216), y=np.float64(9.746184851467714)), theta=2.018796326794897)","{1: Position(x=np.float64(2.2204072811847837), y=np.float64(40.25381514853228)), 2: Position(x=np.float64(-22.779592718815216), y=np.float64(20.253815148532286))}"
5.699999999999996,"Pose(pos=Position(x=np.float64(47.7009751281693), y=np.float64(9.908107986446627)), theta=2.026796326794897)","{1: Position(x=np.float64(2.299024871830703), y=np.float64(40.09189201355338)), 2: Position(x=np.float64(-22.700975128169297), y=np.float64(20.091892013553373))}"
5.799999999999995,"Pose(pos=Position(x=np.float64(47.62106468201043), y=np.float64(10.069397005896366)), theta=2.034796326794897)","{1: Position(x=np.float64(2.3789353179895727), y=np.float64(39.93060299410364)), 2: Position(x=np.float64(-22.621064682010427), y=np.float64(19.930602994103634))}"
5.899999999999995,"Pose(pos=Position(x=np.float64(47.53986649457988), y=np.float64(10.230041587374743)), theta=2.042796326794897)","{1: Position(x=np.float64(2.460133505420117), y=np.float64(39.76995841262526)), 2: Position(x=np.float64(-22.539866494579883), y=np.float64(19.769958412625257))}"
5.999999999999995,"Pose(pos=Position(x=np.float64(47.457385762533946), y=np.float64(10.390031449683374)), theta=2.050796326794897)","{1: Position(x=np.float64(2.5426142374660543), y=np.float64(39.60996855031662)), 2: Position(x=np.float64(-22.457385762533946), y=np.float64(19.609968550316626))}"
6.099999999999994,"Pose(pos=Position(x=np.float64(47.373627764611314), y=np.float64(10.549356353525681)), theta=2.058796326794897)","{1: Position(x=np.float64(2.6263722353886862), y=np.float64(39.45064364647432)), 2: Position(x=np.float64(-22.373627764611314), y=np.float64(19.45064364647432))}"
6.199999999999994,"Pose(pos=Position(x=np.float64(47.28859786129526), y=np.float64(10.708006102162203)), theta=2.066796326794897)","{1: Position(x=np.float64(2.7114021387047416), y=np.float64(39.2919938978378)), 2: Position(x=np.float64(-22.28859786129526), y=np.float64(19.2919938978378))}"
6.299999999999994,"Pose(pos=Position(x=np.float64(47.202301494470575), y=np.float64(10.865970542063177)), theta=2.074796326794897)","{1: Position(x=np.float64(2.797698505529425), y=np.float64(39.13402945793682)), 2: Position(x=np.float64(-22.202301494470575), y=np.float64(19.134029457936823))}"
6.399999999999993,"Pose(pos=Position(x=np.float64(47.11474418707529), y=np.float64(11.02323956355837)), theta=2.082796326794897)","{1: Position(x=np.float64(2.8852558129247114), y=np.float64(38.97676043644163)), 2: Position(x=np.float64(-22.11474418707529), y=np.float64(18.97676043644163))}"
6.499999999999993,"Pose(pos=Position(x=np.float64(47.02593154274718), y=np.float64(11.179803101484087)), theta=2.090796326794897)","{1: Position(x=np.float64(2.9740684572528195), y=np.float64(38.82019689851592)), 2: Position(x=np.float64(-22.02593154274718), y=np.float64(18.820196898515913))}"
6.5999999999999925,"Pose(pos=Position(x=np.float64(46.93586924546517), y=np.float64(11.335651135827339)), theta=2.098796326794897)","{1: Position(x=np.float64(3.0641307545348297), y=np.float64(38.66434886417266)), 2: Position(x=np.float64(-21.93586924546517), y=np.float64(18.66434886417266))}"
6.699999999999992,"Pose(pos=Position(x=np.float64(46.844563059185546), y=np.float64(11.490773692367126)), theta=2.106796326794897)","{1: Position(x=np.float64(3.155436940814454), y=np.float64(38.50922630763287)), 2: Position(x=np.float64(-21.844563059185546), y=np.float64(18.509226307632872))}"
6.799999999999992,"Pose(pos=Position(x=np.float64(46.752018827473066), y=np.float64(11.645160843312777)), theta=2.114796326794897)","{1: Position(x=np.float64(3.2479811725269343), y=np.float64(38.35483915668722)), 2: Position(x=np.float64(-21.752018827473066), y=np.float64(18.354839156687223))}"
6.8999999999999915,"Pose(pos=Position(x=np.float64(46.65824247312697), y=np.float64(11.798802707939329)), theta=2.122796326794897)","{1: Position(x=np.float64(3.3417575268730317), y=np.float64(38.20119729206067)), 2: Position(x=np.float64(-21.65824247312697), y=np.float64(18.20119729206067))}"
6.999999999999991,"Pose(pos=Position(x=np.float64(46.56323999780192), y=np.float64(11.951689453219888)), theta=2.130796326794897)","{1: Position(x=np.float64(3.4367600021980778), y=np.float64(38.048310546780115)), 2: Position(x=np.float64(-21.563239997801922), y=np.float64(18.04831054678011))}"
7.099999999999991,"Pose(pos=Position(x=np.float64(46.46701748162393), y=np.float64(12.103811294454944)), theta=2.138796326794897)","{1: Position(x=np.float64(3.5329825183760732), y=np.float64(37.89618870554506)), 2: Position(x=np.float64(-21.467017481623927), y=np.float64(17.896188705545057))}"
7.19999999999999,"Pose(pos=Position(x=np.float64(46.36958108280117), y=np.float64(12.25515849589858)), theta=2.146796326794897)","{1: Position(x=np.float64(3.6304189171988313), y=np.float64(37.744841504101416)), 2: Position(x=np.float64(-21.36958108280117), y=np.float64(17.74484150410142))}"
